L0A7-->Columns Header:, LevelCount, AutomataStep, AggregateState, Goal, StateDifference, DiversityCounter, LiveCellsCount, LiveCellsArea, LiveCellsDensity, StateId
1,1,0,1,0,1,------5,9,0.56,------1,
4,2,0,1,4,2,------9,25,0.36,------2,
7,3,0,1,12,3,------21,49,0.43,------3,
10,4,0,1,8,4,------29,81,0.36,------4,
13,5,0,1,12,5,------41,121,0.34,------5,
16,6,1,1,12,6,------53,169,0.31,------6,
19,7,1,1,36,7,------89,225,0.4,------7,
22,8,0,0,60,8,------29,169,0.17,------8,
25,9,1,1,36,9,------65,225,0.29,------9,
28,10,1,1,16,10,------81,289,0.28,------10,
31,11,0,0,52,11,------29,169,0.17,------11,
34,12,1,1,44,12,------73,225,0.32,------12,
37,13,1,1,20,13,------93,289,0.32,------13,
40,14,1,0,44,14,------49,169,0.29,------14,
43,15,1,1,32,15,------81,225,0.36,------15,
46,16,0,0,52,16,------29,121,0.24,------16,
49,17,1,1,52,17,------81,169,0.48,------17,
52,18,1,1,48,18,------129,225,0.57,------18,
55,19,1,0,36,19,------93,225,0.41,------19,
58,20,1,1,28,20,------121,289,0.42,------20,
61,21,1,0,44,21,------77,289,0.27,------21,
64,22,1,1,36,22,------113,361,0.31,------22,
67,23,1,0,52,23,------61,225,0.27,------23,
70,24,1,1,52,24,------113,289,0.39,------24,
73,25,1,0,60,25,------53,289,0.18,------25,
76,26,1,1,52,26,------105,361,0.29,------26,
79,27,1,0,60,27,------45,225,0.2,------27,
82,28,1,1,36,28,------81,289,0.28,------28,
85,29,0,0,52,29,------29,289,0.1,------29,
88,30,1,1,36,30,------65,361,0.18,------30,
91,31,1,1,52,31,------117,441,0.27,------31,
94,32,1,0,56,32,------61,361,0.17,------32,
97,33,1,1,52,33,------113,441,0.26,------33,
100,34,1,0,56,34,------57,361,0.16,------34,
103,35,1,1,40,35,------97,441,0.22,------35,
106,36,1,0,52,36,------45,289,0.16,------36,
109,37,1,1,52,37,------97,361,0.27,------37,
112,38,1,0,44,38,------53,225,0.24,------38,
115,39,1,1,52,39,------105,289,0.36,------39,
118,40,1,0,36,40,------69,289,0.24,------40,
121,41,1,1,36,41,------105,361,0.29,------41,
124,42,1,0,44,42,------61,361,0.17,------42,
127,43,1,1,36,42,------97,441,0.22,------35,
130,44,1,0,52,42,------45,289,0.16,------36,
133,45,1,1,52,42,------97,361,0.27,------37,
136,46,1,0,44,42,------53,225,0.24,------38,
139,47,1,1,52,42,------105,289,0.36,------39,
142,48,1,0,36,42,------69,289,0.24,------40,
145,49,1,1,36,42,------105,361,0.29,------41,
148,50,1,0,44,42,------61,361,0.17,------42,
151,51,1,1,36,42,------97,441,0.22,------35,
154,52,1,0,52,42,------45,289,0.16,------36,
157,53,1,1,52,42,------97,361,0.27,------37,
160,54,1,0,44,42,------53,225,0.24,------38,
163,55,1,1,52,42,------105,289,0.36,------39,
166,56,1,0,36,42,------69,289,0.24,------40,
169,57,1,1,36,42,------105,361,0.29,------41,
172,58,1,0,44,42,------61,361,0.17,------42,
175,59,1,1,36,42,------97,441,0.22,------35,
178,60,1,0,52,42,------45,289,0.16,------36,
181,61,1,1,52,42,------97,361,0.27,------37,
184,62,1,0,44,42,------53,225,0.24,------38,
187,63,1,1,52,42,------105,289,0.36,------39,
190,64,1,0,36,42,------69,289,0.24,------40,
193,65,1,1,36,42,------105,361,0.29,------41,
196,66,1,0,44,42,------61,361,0.17,------42,
199,67,1,1,36,42,------97,441,0.22,------35,
202,68,1,0,52,42,------45,289,0.16,------36,
205,69,1,1,52,42,------97,361,0.27,------37,
208,70,1,0,44,42,------53,225,0.24,------38,
211,71,1,1,52,42,------105,289,0.36,------39,
214,72,1,0,36,42,------69,289,0.24,------40,
217,73,1,1,36,42,------105,361,0.29,------41,
220,74,1,0,44,42,------61,361,0.17,------42,
223,75,1,1,36,42,------97,441,0.22,------35,
226,76,1,0,52,42,------45,289,0.16,------36,
229,77,1,1,52,42,------97,361,0.27,------37,
232,78,1,0,44,42,------53,225,0.24,------38,
235,79,1,1,52,42,------105,289,0.36,------39,
238,80,1,0,36,42,------69,289,0.24,------40,
241,81,1,1,36,42,------105,361,0.29,------41,
244,82,1,0,44,42,------61,361,0.17,------42,
247,83,1,1,36,42,------97,441,0.22,------35,
250,84,1,0,52,42,------45,289,0.16,------36,
253,85,1,1,52,42,------97,361,0.27,------37,
256,86,1,0,44,42,------53,225,0.24,------38,
259,87,1,1,52,42,------105,289,0.36,------39,
262,88,1,0,36,42,------69,289,0.24,------40,
265,89,1,1,36,42,------105,361,0.29,------41,
268,90,1,0,44,42,------61,361,0.17,------42,
271,91,1,1,36,42,------97,441,0.22,------35,
274,92,1,0,52,42,------45,289,0.16,------36,
277,93,1,1,52,42,------97,361,0.27,------37,
280,94,1,0,44,42,------53,225,0.24,------38,
283,95,1,1,52,42,------105,289,0.36,------39,
286,96,1,0,36,42,------69,289,0.24,------40,
289,97,1,1,36,42,------105,361,0.29,------41,
292,98,1,0,44,42,------61,361,0.17,------42,
295,99,1,1,36,42,------97,441,0.22,------35,
298,100,1,0,52,42,------45,289,0.16,------36,
301,101,1,1,52,42,------97,361,0.27,------37,
304,102,1,0,44,42,------53,225,0.24,------38,
307,103,1,1,52,42,------105,289,0.36,------39,
310,104,1,0,36,42,------69,289,0.24,------40,
313,105,1,1,36,42,------105,361,0.29,------41,
316,106,1,0,44,42,------61,361,0.17,------42,
