L1A1-->Columns Header:, LevelCount, AutomataStep, AggregateState, Goal, StateDifference, DiversityCounter, LiveCellsCount, LiveCellsArea, LiveCellsDensity, StateId
2,1,0,1,0,1,------0,0,0.0,------1,
5,2,0,1,0,1,------0,0,0.0,------1,
8,3,0,1,0,1,------0,0,0.0,------1,
11,4,0,1,0,1,------0,0,0.0,------1,
14,5,0,1,0,1,------0,0,0.0,------1,
17,6,1,1,32,2,------32,32,1.0,------2,
20,7,0,0,20,3,------12,12,1.0,------3,
23,8,0,0,12,3,------0,0,0.0,------1,
26,9,0,1,28,4,------28,32,0.88,------4,
29,10,0,1,0,4,------28,32,0.88,------4,
32,11,0,1,0,4,------28,32,0.88,------4,
35,12,0,1,0,4,------28,32,0.88,------4,
38,13,0,1,0,4,------28,32,0.88,------4,
41,14,1,1,4,4,------32,32,1.0,------2,
44,15,0,0,20,4,------12,12,1.0,------3,
47,16,0,0,12,4,------0,0,0.0,------1,
50,17,0,1,28,4,------28,32,0.88,------4,
53,18,0,1,0,4,------28,32,0.88,------4,
56,19,0,1,0,4,------28,32,0.88,------4,
59,20,0,1,0,4,------28,32,0.88,------4,
62,21,0,1,0,4,------28,32,0.88,------4,
65,22,1,1,4,4,------32,32,1.0,------2,
68,23,0,0,20,4,------12,12,1.0,------3,
71,24,0,0,12,4,------0,0,0.0,------1,
74,25,0,1,28,4,------28,32,0.88,------4,
77,26,0,1,0,4,------28,32,0.88,------4,
80,27,0,1,0,4,------28,32,0.88,------4,
83,28,0,1,0,4,------28,32,0.88,------4,
86,29,0,1,0,4,------28,32,0.88,------4,
89,30,1,1,4,4,------32,32,1.0,------2,
92,31,0,0,20,4,------12,12,1.0,------3,
95,32,0,0,12,4,------0,0,0.0,------1,
98,33,0,1,28,4,------28,32,0.88,------4,
101,34,0,1,0,4,------28,32,0.88,------4,
104,35,0,1,0,4,------28,32,0.88,------4,
107,36,0,1,0,4,------28,32,0.88,------4,
110,37,0,1,0,4,------28,32,0.88,------4,
113,38,1,1,4,4,------32,32,1.0,------2,
116,39,0,0,20,4,------12,12,1.0,------3,
119,40,0,0,12,4,------0,0,0.0,------1,
122,41,0,1,28,4,------28,32,0.88,------4,
125,42,0,1,0,4,------28,32,0.88,------4,
128,43,0,1,0,4,------28,32,0.88,------4,
131,44,0,1,0,4,------28,32,0.88,------4,
134,45,0,1,0,4,------28,32,0.88,------4,
137,46,1,1,4,4,------32,32,1.0,------2,
140,47,0,0,20,4,------12,12,1.0,------3,
143,48,0,0,12,4,------0,0,0.0,------1,
146,49,0,1,28,4,------28,32,0.88,------4,
149,50,0,1,0,4,------28,32,0.88,------4,
152,51,0,1,0,4,------28,32,0.88,------4,
155,52,0,1,0,4,------28,32,0.88,------4,
158,53,0,1,0,4,------28,32,0.88,------4,
161,54,1,1,4,4,------32,32,1.0,------2,
164,55,0,0,20,4,------12,12,1.0,------3,
167,56,0,0,12,4,------0,0,0.0,------1,
170,57,0,1,28,4,------28,32,0.88,------4,
173,58,0,1,0,4,------28,32,0.88,------4,
176,59,0,1,0,4,------28,32,0.88,------4,
179,60,0,1,0,4,------28,32,0.88,------4,
182,61,0,1,0,4,------28,32,0.88,------4,
185,62,1,1,4,4,------32,32,1.0,------2,
188,63,0,0,20,4,------12,12,1.0,------3,
191,64,0,0,12,4,------0,0,0.0,------1,
194,65,0,1,28,4,------28,32,0.88,------4,
197,66,0,1,0,4,------28,32,0.88,------4,
200,67,0,1,0,4,------28,32,0.88,------4,
203,68,0,1,0,4,------28,32,0.88,------4,
206,69,0,1,0,4,------28,32,0.88,------4,
209,70,1,1,4,4,------32,32,1.0,------2,
212,71,0,0,20,4,------12,12,1.0,------3,
215,72,0,0,12,4,------0,0,0.0,------1,
218,73,0,1,28,4,------28,32,0.88,------4,
221,74,0,1,0,4,------28,32,0.88,------4,
224,75,0,1,0,4,------28,32,0.88,------4,
227,76,0,1,0,4,------28,32,0.88,------4,
230,77,0,1,0,4,------28,32,0.88,------4,
233,78,1,1,4,4,------32,32,1.0,------2,
236,79,0,0,20,4,------12,12,1.0,------3,
239,80,0,0,12,4,------0,0,0.0,------1,
242,81,0,1,28,4,------28,32,0.88,------4,
245,82,0,1,0,4,------28,32,0.88,------4,
248,83,0,1,0,4,------28,32,0.88,------4,
251,84,0,1,0,4,------28,32,0.88,------4,
254,85,0,1,0,4,------28,32,0.88,------4,
257,86,1,1,4,4,------32,32,1.0,------2,
260,87,0,0,20,4,------12,12,1.0,------3,
263,88,0,0,12,4,------0,0,0.0,------1,
266,89,0,1,28,4,------28,32,0.88,------4,
269,90,0,1,0,4,------28,32,0.88,------4,
272,91,0,1,0,4,------28,32,0.88,------4,
275,92,0,1,0,4,------28,32,0.88,------4,
278,93,0,1,0,4,------28,32,0.88,------4,
281,94,1,1,4,4,------32,32,1.0,------2,
284,95,0,0,20,4,------12,12,1.0,------3,
287,96,0,0,12,4,------0,0,0.0,------1,
290,97,0,1,28,4,------28,32,0.88,------4,
293,98,0,1,0,4,------28,32,0.88,------4,
296,99,0,1,0,4,------28,32,0.88,------4,
299,100,0,1,0,4,------28,32,0.88,------4,
302,101,0,1,0,4,------28,32,0.88,------4,
305,102,1,1,4,4,------32,32,1.0,------2,
308,103,0,0,20,4,------12,12,1.0,------3,
311,104,0,0,12,4,------0,0,0.0,------1,
314,105,0,1,28,4,------28,32,0.88,------4,
317,106,0,1,0,4,------28,32,0.88,------4,
320,107,0,1,0,4,------28,32,0.88,------4,
323,108,0,1,0,4,------28,32,0.88,------4,
326,109,0,1,0,4,------28,32,0.88,------4,
329,110,1,1,4,4,------32,32,1.0,------2,
332,111,0,0,20,4,------12,12,1.0,------3,
335,112,0,0,12,4,------0,0,0.0,------1,
338,113,0,1,28,4,------28,32,0.88,------4,
341,114,0,1,0,4,------28,32,0.88,------4,
344,115,0,1,0,4,------28,32,0.88,------4,
347,116,0,1,0,4,------28,32,0.88,------4,
350,117,0,1,0,4,------28,32,0.88,------4,
353,118,1,1,4,4,------32,32,1.0,------2,
356,119,0,0,20,4,------12,12,1.0,------3,
359,120,0,0,12,4,------0,0,0.0,------1,
362,121,0,1,28,4,------28,32,0.88,------4,
365,122,0,1,0,4,------28,32,0.88,------4,
368,123,0,1,0,4,------28,32,0.88,------4,
371,124,0,1,0,4,------28,32,0.88,------4,
374,125,0,1,0,4,------28,32,0.88,------4,
377,126,1,1,4,4,------32,32,1.0,------2,
380,127,0,0,20,4,------12,12,1.0,------3,
383,128,0,0,12,4,------0,0,0.0,------1,
386,129,0,1,28,4,------28,32,0.88,------4,
389,130,0,1,0,4,------28,32,0.88,------4,
392,131,0,1,0,4,------28,32,0.88,------4,
395,132,0,1,0,4,------28,32,0.88,------4,
398,133,0,1,0,4,------28,32,0.88,------4,
401,134,1,1,4,4,------32,32,1.0,------2,
404,135,0,0,20,4,------12,12,1.0,------3,
407,136,0,0,12,4,------0,0,0.0,------1,
410,137,0,1,28,4,------28,32,0.88,------4,
413,138,0,1,0,4,------28,32,0.88,------4,
416,139,0,1,0,4,------28,32,0.88,------4,
419,140,0,1,0,4,------28,32,0.88,------4,
