L2A0-->Columns Header:, LevelCount, AutomataStep, AggregateState, Goal, StateDifference, DiversityCounter, LiveCellsCount, LiveCellsArea, LiveCellsDensity, StateId
3,1,0,1,0,1,------0,0,0.0,------1,
6,2,0,1,0,1,------0,0,0.0,------1,
9,3,0,1,0,1,------0,0,0.0,------1,
12,4,0,1,0,1,------0,0,0.0,------1,
15,5,0,1,0,1,------0,0,0.0,------1,
18,6,0,1,0,1,------0,0,0.0,------1,
21,7,0,1,0,1,------0,0,0.0,------1,
24,8,0,1,0,1,------0,0,0.0,------1,
27,9,0,1,0,1,------0,0,0.0,------1,
30,10,0,1,0,1,------0,0,0.0,------1,
33,11,0,1,0,1,------0,0,0.0,------1,
36,12,1,1,1,2,------1,0,2.1474836E7,------2,
39,13,1,1,0,2,------1,0,2.1474836E7,------2,
42,14,1,1,0,2,------1,0,2.1474836E7,------2,
45,15,1,1,0,2,------1,0,2.1474836E7,------2,
48,16,0,1,1,2,------0,0,0.0,------1,
51,17,0,1,0,2,------0,0,0.0,------1,
54,18,0,1,0,2,------0,0,0.0,------1,
57,19,0,1,0,2,------0,0,0.0,------1,
60,20,1,1,1,2,------1,0,2.1474836E7,------2,
63,21,1,1,0,2,------1,0,2.1474836E7,------2,
66,22,1,1,0,2,------1,0,2.1474836E7,------2,
69,23,1,1,0,2,------1,0,2.1474836E7,------2,
72,24,0,1,1,2,------0,0,0.0,------1,
75,25,0,1,0,2,------0,0,0.0,------1,
78,26,0,1,0,2,------0,0,0.0,------1,
81,27,0,1,0,2,------0,0,0.0,------1,
84,28,1,1,1,2,------1,0,2.1474836E7,------2,
87,29,1,1,0,2,------1,0,2.1474836E7,------2,
90,30,1,1,0,2,------1,0,2.1474836E7,------2,
93,31,1,1,0,2,------1,0,2.1474836E7,------2,
96,32,0,1,1,2,------0,0,0.0,------1,
99,33,0,1,0,2,------0,0,0.0,------1,
102,34,0,1,0,2,------0,0,0.0,------1,
105,35,0,1,0,2,------0,0,0.0,------1,
108,36,1,1,1,2,------1,0,2.1474836E7,------2,
111,37,1,1,0,2,------1,0,2.1474836E7,------2,
114,38,1,1,0,2,------1,0,2.1474836E7,------2,
117,39,1,1,0,2,------1,0,2.1474836E7,------2,
120,40,0,1,1,2,------0,0,0.0,------1,
123,41,0,1,0,2,------0,0,0.0,------1,
126,42,0,1,0,2,------0,0,0.0,------1,
129,43,0,1,0,2,------0,0,0.0,------1,
132,44,1,1,1,2,------1,0,2.1474836E7,------2,
135,45,1,1,0,2,------1,0,2.1474836E7,------2,
138,46,1,1,0,2,------1,0,2.1474836E7,------2,
141,47,1,1,0,2,------1,0,2.1474836E7,------2,
144,48,0,1,1,2,------0,0,0.0,------1,
147,49,0,1,0,2,------0,0,0.0,------1,
150,50,0,1,0,2,------0,0,0.0,------1,
153,51,0,1,0,2,------0,0,0.0,------1,
156,52,1,1,1,2,------1,0,2.1474836E7,------2,
159,53,1,1,0,2,------1,0,2.1474836E7,------2,
162,54,1,1,0,2,------1,0,2.1474836E7,------2,
165,55,1,1,0,2,------1,0,2.1474836E7,------2,
168,56,0,1,1,2,------0,0,0.0,------1,
171,57,0,1,0,2,------0,0,0.0,------1,
174,58,0,1,0,2,------0,0,0.0,------1,
177,59,0,1,0,2,------0,0,0.0,------1,
180,60,1,1,1,2,------1,0,2.1474836E7,------2,
183,61,1,1,0,2,------1,0,2.1474836E7,------2,
186,62,1,1,0,2,------1,0,2.1474836E7,------2,
189,63,1,1,0,2,------1,0,2.1474836E7,------2,
192,64,0,1,1,2,------0,0,0.0,------1,
195,65,0,1,0,2,------0,0,0.0,------1,
198,66,0,1,0,2,------0,0,0.0,------1,
201,67,0,1,0,2,------0,0,0.0,------1,
204,68,1,1,1,2,------1,0,2.1474836E7,------2,
207,69,1,1,0,2,------1,0,2.1474836E7,------2,
210,70,1,1,0,2,------1,0,2.1474836E7,------2,
213,71,1,1,0,2,------1,0,2.1474836E7,------2,
216,72,0,1,1,2,------0,0,0.0,------1,
