L0A4-->Columns Header:, LevelCount, AutomataStep, AggregateState, Goal, StateDifference, DiversityCounter, LiveCellsCount, LiveCellsArea, LiveCellsDensity, StateId
1,1,0,1,0,1,------5,9,0.56,------1,
4,2,0,1,4,2,------9,25,0.36,------2,
7,3,0,1,12,3,------21,49,0.43,------3,
10,4,0,1,8,4,------29,81,0.36,------4,
13,5,0,1,12,5,------41,121,0.34,------5,
16,6,1,1,12,6,------53,169,0.31,------6,
19,7,1,1,36,7,------89,225,0.4,------7,
22,8,0,0,60,8,------29,169,0.17,------8,
25,9,0,0,24,8,------5,9,0.56,------1,
28,10,0,0,4,9,------1,1,1.0,------9,
31,11,0,1,4,9,------5,9,0.56,------1,
34,12,0,1,4,9,------9,25,0.36,------2,
37,13,0,1,12,9,------21,49,0.43,------3,
40,14,0,1,8,9,------29,81,0.36,------4,
43,15,0,1,12,9,------41,121,0.34,------5,
46,16,1,1,12,9,------53,169,0.31,------6,
49,17,1,1,36,9,------89,225,0.4,------7,
52,18,1,1,28,10,------117,289,0.4,------10,
55,19,1,1,12,11,------129,361,0.36,------11,
58,20,1,0,40,12,------89,289,0.31,------12,
61,21,1,0,28,13,------61,121,0.5,------13,
64,22,0,0,20,14,------41,81,0.51,------14,
67,23,1,1,4,15,------45,121,0.37,------15,
70,24,1,1,12,16,------57,169,0.34,------16,
73,25,1,1,12,17,------69,225,0.31,------17,
76,26,0,0,40,18,------29,121,0.24,------18,
79,27,0,0,16,19,------13,25,0.52,------19,
82,28,0,0,8,19,------5,9,0.56,------1,
85,29,0,1,4,19,------9,25,0.36,------2,
88,30,0,1,12,19,------21,49,0.43,------3,
91,31,0,1,8,19,------29,81,0.36,------4,
94,32,0,1,12,19,------41,121,0.34,------5,
97,33,1,1,12,19,------53,169,0.31,------6,
100,34,1,1,36,19,------89,225,0.4,------7,
103,35,0,0,60,19,------29,169,0.17,------8,
106,36,0,0,24,19,------5,9,0.56,------1,
109,37,0,0,4,19,------1,1,1.0,------9,
112,38,0,1,4,19,------5,9,0.56,------1,
115,39,0,1,4,19,------9,25,0.36,------2,
118,40,0,1,12,19,------21,49,0.43,------3,
121,41,0,1,8,19,------29,81,0.36,------4,
124,42,0,1,12,19,------41,121,0.34,------5,
127,43,1,1,12,19,------53,169,0.31,------6,
130,44,1,1,36,19,------89,225,0.4,------7,
133,45,1,1,28,19,------117,289,0.4,------10,
136,46,1,1,12,19,------129,361,0.36,------11,
139,47,1,0,40,19,------89,289,0.31,------12,
142,48,1,0,28,19,------61,121,0.5,------13,
145,49,0,0,20,19,------41,81,0.51,------14,
148,50,1,1,4,19,------45,121,0.37,------15,
151,51,1,1,12,19,------57,169,0.34,------16,
154,52,1,1,12,19,------69,225,0.31,------17,
157,53,0,0,40,19,------29,121,0.24,------18,
160,54,0,0,16,19,------13,25,0.52,------19,
163,55,0,0,8,19,------5,9,0.56,------1,
166,56,0,1,4,19,------9,25,0.36,------2,
169,57,0,1,12,19,------21,49,0.43,------3,
172,58,0,1,8,19,------29,81,0.36,------4,
175,59,0,1,12,19,------41,121,0.34,------5,
178,60,1,1,12,19,------53,169,0.31,------6,
181,61,1,1,36,19,------89,225,0.4,------7,
184,62,0,0,60,19,------29,169,0.17,------8,
187,63,0,0,24,19,------5,9,0.56,------1,
190,64,0,0,4,19,------1,1,1.0,------9,
193,65,0,1,4,19,------5,9,0.56,------1,
196,66,0,1,4,19,------9,25,0.36,------2,
199,67,0,1,12,19,------21,49,0.43,------3,
202,68,0,1,8,19,------29,81,0.36,------4,
205,69,0,1,12,19,------41,121,0.34,------5,
208,70,1,1,12,19,------53,169,0.31,------6,
211,71,1,1,36,19,------89,225,0.4,------7,
214,72,1,1,28,19,------117,289,0.4,------10,
217,73,1,1,12,19,------129,361,0.36,------11,
220,74,1,0,40,19,------89,289,0.31,------12,
223,75,1,0,28,19,------61,121,0.5,------13,
226,76,0,0,20,19,------41,81,0.51,------14,
229,77,1,1,4,19,------45,121,0.37,------15,
232,78,1,1,12,19,------57,169,0.34,------16,
235,79,1,1,12,19,------69,225,0.31,------17,
238,80,0,0,40,19,------29,121,0.24,------18,
241,81,0,0,16,19,------13,25,0.52,------19,
244,82,0,0,8,19,------5,9,0.56,------1,
247,83,0,1,4,19,------9,25,0.36,------2,
250,84,0,1,12,19,------21,49,0.43,------3,
253,85,0,1,8,19,------29,81,0.36,------4,
256,86,0,1,12,19,------41,121,0.34,------5,
259,87,1,1,12,19,------53,169,0.31,------6,
262,88,1,1,36,19,------89,225,0.4,------7,
265,89,0,0,60,19,------29,169,0.17,------8,
268,90,0,0,24,19,------5,9,0.56,------1,
271,91,0,0,4,19,------1,1,1.0,------9,
274,92,0,1,4,19,------5,9,0.56,------1,
277,93,0,1,4,19,------9,25,0.36,------2,
280,94,0,1,12,19,------21,49,0.43,------3,
283,95,0,1,8,19,------29,81,0.36,------4,
286,96,0,1,12,19,------41,121,0.34,------5,
289,97,1,1,12,19,------53,169,0.31,------6,
292,98,1,1,36,19,------89,225,0.4,------7,
295,99,1,1,28,19,------117,289,0.4,------10,
298,100,1,1,12,19,------129,361,0.36,------11,
301,101,1,0,40,19,------89,289,0.31,------12,
304,102,1,0,28,19,------61,121,0.5,------13,
307,103,0,0,20,19,------41,81,0.51,------14,
310,104,1,1,4,19,------45,121,0.37,------15,
313,105,1,1,12,19,------57,169,0.34,------16,
316,106,1,1,12,19,------69,225,0.31,------17,
319,107,0,0,40,19,------29,121,0.24,------18,
322,108,0,0,16,19,------13,25,0.52,------19,
325,109,0,0,8,19,------5,9,0.56,------1,
328,110,0,1,4,19,------9,25,0.36,------2,
331,111,0,1,12,19,------21,49,0.43,------3,
334,112,0,1,8,19,------29,81,0.36,------4,
337,113,0,1,12,19,------41,121,0.34,------5,
340,114,1,1,12,19,------53,169,0.31,------6,
343,115,1,1,36,19,------89,225,0.4,------7,
346,116,0,0,60,19,------29,169,0.17,------8,
349,117,0,0,24,19,------5,9,0.56,------1,
352,118,0,0,4,19,------1,1,1.0,------9,
355,119,0,1,4,19,------5,9,0.56,------1,
358,120,0,1,4,19,------9,25,0.36,------2,
361,121,0,1,12,19,------21,49,0.43,------3,
364,122,0,1,8,19,------29,81,0.36,------4,
367,123,0,1,12,19,------41,121,0.34,------5,
370,124,1,1,12,19,------53,169,0.31,------6,
373,125,1,1,36,19,------89,225,0.4,------7,
376,126,1,1,28,19,------117,289,0.4,------10,
379,127,1,1,12,19,------129,361,0.36,------11,
382,128,1,0,40,19,------89,289,0.31,------12,
385,129,1,0,28,19,------61,121,0.5,------13,
388,130,0,0,20,19,------41,81,0.51,------14,
391,131,1,1,4,19,------45,121,0.37,------15,
394,132,1,1,12,19,------57,169,0.34,------16,
397,133,1,1,12,19,------69,225,0.31,------17,
400,134,0,0,40,19,------29,121,0.24,------18,
403,135,0,0,16,19,------13,25,0.52,------19,
406,136,0,0,8,19,------5,9,0.56,------1,
409,137,0,1,4,19,------9,25,0.36,------2,
412,138,0,1,12,19,------21,49,0.43,------3,
415,139,0,1,8,19,------29,81,0.36,------4,
418,140,0,1,12,19,------41,121,0.34,------5,
421,141,1,1,12,19,------53,169,0.31,------6,
424,142,1,1,36,19,------89,225,0.4,------7,
427,143,0,0,60,19,------29,169,0.17,------8,
430,144,0,0,24,19,------5,9,0.56,------1,
433,145,0,0,4,19,------1,1,1.0,------9,
436,146,0,1,4,19,------5,9,0.56,------1,
439,147,0,1,4,19,------9,25,0.36,------2,
