L0A2-->Columns Header:, LevelCount, AutomataStep, AggregateState, Goal, StateDifference, DiversityCounter, LiveCellsCount, LiveCellsArea, LiveCellsDensity, StateId
1,1,0,1,0,1,------5,9,0.56,------1,
4,2,0,1,4,2,------9,25,0.36,------2,
7,3,0,1,12,3,------21,49,0.43,------3,
10,4,0,1,8,4,------29,81,0.36,------4,
13,5,0,1,12,5,------41,121,0.34,------5,
16,6,1,1,12,6,------53,169,0.31,------6,
19,7,1,1,36,7,------89,225,0.4,------7,
22,8,1,1,28,8,------117,289,0.4,------8,
25,9,1,1,12,9,------129,361,0.36,------9,
28,10,1,1,12,10,------141,441,0.32,------10,
31,11,1,1,32,11,------173,441,0.39,------11,
34,12,1,1,24,12,------197,441,0.45,------12,
37,13,1,1,24,13,------221,441,0.5,------13,
40,14,1,1,24,14,------245,441,0.56,------14,
43,15,1,1,64,15,------309,441,0.7,------15,
46,16,1,0,136,16,------173,441,0.39,------16,
49,17,1,0,64,17,------109,361,0.3,------17,
52,18,1,0,20,18,------89,289,0.31,------18,
55,19,1,0,16,19,------73,225,0.32,------19,
58,20,1,0,12,20,------61,169,0.36,------20,
61,21,1,1,28,21,------89,225,0.4,------21,
64,22,1,1,40,22,------129,289,0.45,------22,
67,23,1,1,24,23,------153,361,0.42,------23,
70,24,1,1,24,24,------177,441,0.4,------24,
73,25,1,1,24,25,------201,441,0.46,------25,
76,26,1,0,56,26,------145,361,0.4,------26,
79,27,1,0,24,27,------121,169,0.72,------27,
82,28,1,0,12,28,------109,121,0.9,------28,
85,29,1,0,12,29,------97,121,0.8,------29,
88,30,1,0,16,30,------81,121,0.67,------30,
91,31,1,0,20,31,------61,121,0.5,------31,
94,32,0,0,20,32,------41,81,0.51,------32,
97,33,0,0,16,33,------25,49,0.51,------33,
100,34,0,0,12,34,------13,25,0.52,------34,
103,35,0,0,8,34,------5,9,0.56,------1,
106,36,0,0,4,35,------1,1,1.0,------35,
109,37,0,0,1,36,------0,0,0.0,------36,
112,38,0,0,0,36,------0,0,0.0,------36,
115,39,0,0,0,36,------0,0,0.0,------36,
118,40,0,0,0,36,------0,0,0.0,------36,
121,41,0,1,0,36,------0,0,0.0,------36,
124,42,0,1,0,36,------0,0,0.0,------36,
127,43,0,1,0,36,------0,0,0.0,------36,
130,44,0,1,0,36,------0,0,0.0,------36,
133,45,0,1,0,36,------0,0,0.0,------36,
136,46,0,0,0,36,------0,0,0.0,------36,
139,47,0,0,0,36,------0,0,0.0,------36,
142,48,0,0,0,36,------0,0,0.0,------36,
145,49,0,0,0,36,------0,0,0.0,------36,
148,50,0,0,0,36,------0,0,0.0,------36,
151,51,0,0,0,36,------0,0,0.0,------36,
154,52,0,0,0,36,------0,0,0.0,------36,
157,53,0,0,0,36,------0,0,0.0,------36,
160,54,0,0,0,36,------0,0,0.0,------36,
163,55,0,0,0,36,------0,0,0.0,------36,
166,56,0,1,0,36,------0,0,0.0,------36,
169,57,0,1,0,36,------0,0,0.0,------36,
172,58,0,1,0,36,------0,0,0.0,------36,
175,59,0,1,0,36,------0,0,0.0,------36,
178,60,0,1,0,36,------0,0,0.0,------36,
181,61,0,1,0,36,------0,0,0.0,------36,
184,62,0,1,0,36,------0,0,0.0,------36,
187,63,0,1,0,36,------0,0,0.0,------36,
190,64,0,1,0,36,------0,0,0.0,------36,
193,65,0,1,0,36,------0,0,0.0,------36,
196,66,0,0,0,36,------0,0,0.0,------36,
199,67,0,0,0,36,------0,0,0.0,------36,
202,68,0,0,0,36,------0,0,0.0,------36,
205,69,0,0,0,36,------0,0,0.0,------36,
208,70,0,0,0,36,------0,0,0.0,------36,
211,71,0,0,0,36,------0,0,0.0,------36,
214,72,0,0,0,36,------0,0,0.0,------36,
217,73,0,0,0,36,------0,0,0.0,------36,
220,74,0,0,0,36,------0,0,0.0,------36,
223,75,0,0,0,36,------0,0,0.0,------36,
226,76,0,1,0,36,------0,0,0.0,------36,
229,77,0,1,0,36,------0,0,0.0,------36,
232,78,0,1,0,36,------0,0,0.0,------36,
235,79,0,1,0,36,------0,0,0.0,------36,
238,80,0,1,0,36,------0,0,0.0,------36,
241,81,0,0,0,36,------0,0,0.0,------36,
244,82,0,0,0,36,------0,0,0.0,------36,
247,83,0,0,0,36,------0,0,0.0,------36,
250,84,0,0,0,36,------0,0,0.0,------36,
253,85,0,0,0,36,------0,0,0.0,------36,
256,86,0,1,0,36,------0,0,0.0,------36,
259,87,0,1,0,36,------0,0,0.0,------36,
262,88,0,1,0,36,------0,0,0.0,------36,
265,89,0,1,0,36,------0,0,0.0,------36,
268,90,0,1,0,36,------0,0,0.0,------36,
271,91,0,1,0,36,------0,0,0.0,------36,
274,92,0,1,0,36,------0,0,0.0,------36,
277,93,0,1,0,36,------0,0,0.0,------36,
280,94,0,1,0,36,------0,0,0.0,------36,
283,95,0,1,0,36,------0,0,0.0,------36,
286,96,0,0,0,36,------0,0,0.0,------36,
289,97,0,0,0,36,------0,0,0.0,------36,
292,98,0,0,0,36,------0,0,0.0,------36,
295,99,0,0,0,36,------0,0,0.0,------36,
298,100,0,0,0,36,------0,0,0.0,------36,
301,101,0,1,0,36,------0,0,0.0,------36,
304,102,0,1,0,36,------0,0,0.0,------36,
307,103,0,1,0,36,------0,0,0.0,------36,
310,104,0,1,0,36,------0,0,0.0,------36,
313,105,0,1,0,36,------0,0,0.0,------36,
316,106,0,0,0,36,------0,0,0.0,------36,
319,107,0,0,0,36,------0,0,0.0,------36,
322,108,0,0,0,36,------0,0,0.0,------36,
325,109,0,0,0,36,------0,0,0.0,------36,
328,110,0,0,0,36,------0,0,0.0,------36,
331,111,0,1,0,36,------0,0,0.0,------36,
334,112,0,1,0,36,------0,0,0.0,------36,
337,113,0,1,0,36,------0,0,0.0,------36,
340,114,0,1,0,36,------0,0,0.0,------36,
343,115,0,1,0,36,------0,0,0.0,------36,
346,116,0,0,0,36,------0,0,0.0,------36,
349,117,0,0,0,36,------0,0,0.0,------36,
352,118,0,0,0,36,------0,0,0.0,------36,
355,119,0,0,0,36,------0,0,0.0,------36,
358,120,0,0,0,36,------0,0,0.0,------36,
361,121,0,0,0,36,------0,0,0.0,------36,
364,122,0,0,0,36,------0,0,0.0,------36,
367,123,0,0,0,36,------0,0,0.0,------36,
370,124,0,0,0,36,------0,0,0.0,------36,
373,125,0,0,0,36,------0,0,0.0,------36,
376,126,0,1,0,36,------0,0,0.0,------36,
379,127,0,1,0,36,------0,0,0.0,------36,
382,128,0,1,0,36,------0,0,0.0,------36,
385,129,0,1,0,36,------0,0,0.0,------36,
388,130,0,1,0,36,------0,0,0.0,------36,
391,131,0,0,0,36,------0,0,0.0,------36,
394,132,0,0,0,36,------0,0,0.0,------36,
397,133,0,0,0,36,------0,0,0.0,------36,
400,134,0,0,0,36,------0,0,0.0,------36,
403,135,0,0,0,36,------0,0,0.0,------36,
406,136,0,1,0,36,------0,0,0.0,------36,
409,137,0,1,0,36,------0,0,0.0,------36,
412,138,0,1,0,36,------0,0,0.0,------36,
415,139,0,1,0,36,------0,0,0.0,------36,
418,140,0,1,0,36,------0,0,0.0,------36,
421,141,0,0,0,36,------0,0,0.0,------36,
424,142,0,0,0,36,------0,0,0.0,------36,
427,143,0,0,0,36,------0,0,0.0,------36,
430,144,0,0,0,36,------0,0,0.0,------36,
433,145,0,0,0,36,------0,0,0.0,------36,
436,146,0,0,0,36,------0,0,0.0,------36,
439,147,0,0,0,36,------0,0,0.0,------36,
