L0A3-->Columns Header:, LevelCount, AutomataStep, AggregateState, Goal, StateDifference, DiversityCounter, LiveCellsCount, LiveCellsArea, LiveCellsDensity, StateId
1,1,0,1,0,1,------5,9,0.56,------1,
4,2,0,1,4,2,------9,25,0.36,------2,
7,3,0,1,12,3,------21,49,0.43,------3,
10,4,0,1,8,4,------29,81,0.36,------4,
13,5,0,1,12,5,------41,121,0.34,------5,
16,6,1,1,12,6,------53,169,0.31,------6,
19,7,1,1,36,7,------89,225,0.4,------7,
22,8,0,0,60,8,------29,169,0.17,------8,
25,9,0,0,24,8,------5,9,0.56,------1,
28,10,0,1,4,8,------9,25,0.36,------2,
31,11,0,1,12,8,------21,49,0.43,------3,
34,12,0,0,16,9,------5,25,0.2,------9,
37,13,0,0,5,10,------0,0,0.0,------10,
40,14,0,0,0,10,------0,0,0.0,------10,
43,15,0,0,0,10,------0,0,0.0,------10,
46,16,0,0,0,10,------0,0,0.0,------10,
49,17,0,0,0,10,------0,0,0.0,------10,
52,18,0,0,0,10,------0,0,0.0,------10,
55,19,0,0,0,10,------0,0,0.0,------10,
58,20,0,0,0,10,------0,0,0.0,------10,
61,21,0,0,0,10,------0,0,0.0,------10,
