L0A15-->Columns Header:, LevelCount, AutomataStep, AggregateState, Goal, StateDifference, DiversityCounter, LiveCellsCount, LiveCellsArea, LiveCellsDensity, StateId
1,1,0,1,0,1,------5,9,0.56,------1,
4,2,0,1,4,2,------9,25,0.36,------2,
7,3,0,1,12,3,------21,49,0.43,------3,
10,4,0,1,8,4,------29,81,0.36,------4,
13,5,0,1,12,5,------41,121,0.34,------5,
16,6,1,1,12,6,------53,169,0.31,------6,
19,7,1,1,36,7,------89,225,0.4,------7,
22,8,1,1,28,8,------117,289,0.4,------8,
25,9,1,1,12,9,------129,361,0.36,------9,
28,10,1,1,12,10,------141,441,0.32,------10,
31,11,1,1,32,11,------173,441,0.39,------11,
34,12,1,1,24,12,------197,441,0.45,------12,
37,13,1,1,24,13,------221,441,0.5,------13,
40,14,1,1,24,14,------245,441,0.56,------14,
43,15,1,1,64,15,------309,441,0.7,------15,
46,16,1,1,64,16,------373,441,0.85,------16,
49,17,1,1,0,16,------373,441,0.85,------16,
52,18,1,1,0,16,------373,441,0.85,------16,
55,19,1,1,0,16,------373,441,0.85,------16,
58,20,1,1,0,16,------373,441,0.85,------16,
61,21,1,0,40,17,------333,441,0.76,------17,
64,22,1,0,32,18,------301,361,0.83,------18,
67,23,1,1,36,19,------337,441,0.76,------19,
70,24,1,1,8,20,------345,441,0.78,------20,
73,25,1,1,8,21,------353,441,0.8,------21,
76,26,1,1,16,22,------369,441,0.84,------22,
79,27,1,0,40,23,------329,441,0.75,------23,
82,28,1,0,28,24,------301,441,0.68,------24,
85,29,1,0,24,25,------277,441,0.63,------25,
88,30,1,0,28,26,------249,441,0.56,------26,
91,31,1,1,16,27,------265,441,0.6,------27,
94,32,1,1,20,28,------285,441,0.65,------28,
97,33,1,1,12,29,------297,441,0.67,------29,
100,34,1,1,24,30,------321,441,0.73,------30,
103,35,1,0,64,31,------257,441,0.58,------31,
106,36,1,0,40,32,------217,361,0.6,------32,
109,37,1,0,28,33,------189,289,0.65,------33,
112,38,1,0,24,34,------165,225,0.73,------34,
115,39,1,1,20,35,------185,289,0.64,------35,
118,40,1,1,28,36,------213,361,0.59,------36,
121,41,1,1,28,37,------241,441,0.55,------37,
124,42,1,1,32,38,------273,441,0.62,------38,
127,43,1,0,56,39,------217,441,0.49,------39,
130,44,1,0,28,40,------189,441,0.43,------40,
133,45,1,0,24,41,------165,441,0.37,------41,
136,46,1,0,24,42,------141,361,0.39,------42,
139,47,1,1,36,43,------177,441,0.4,------43,
142,48,1,1,44,44,------221,441,0.5,------44,
145,49,1,1,36,45,------257,441,0.58,------45,
148,50,1,1,28,46,------285,441,0.65,------46,
151,51,1,0,68,47,------217,441,0.49,------47,
154,52,1,0,16,48,------201,225,0.89,------48,
157,53,1,0,16,49,------185,225,0.82,------49,
160,54,1,0,20,49,------165,225,0.73,------34,
163,55,1,1,20,49,------185,289,0.64,------35,
166,56,1,1,28,49,------213,361,0.59,------36,
169,57,1,1,28,49,------241,441,0.55,------37,
172,58,1,1,32,49,------273,441,0.62,------38,
175,59,1,0,56,49,------217,441,0.49,------39,
178,60,1,0,28,49,------189,441,0.43,------40,
181,61,1,0,24,49,------165,441,0.37,------41,
184,62,1,0,24,49,------141,361,0.39,------42,
187,63,1,1,36,49,------177,441,0.4,------43,
190,64,1,1,44,49,------221,441,0.5,------44,
193,65,1,1,36,49,------257,441,0.58,------45,
196,66,1,1,28,49,------285,441,0.65,------46,
199,67,1,0,68,49,------217,441,0.49,------47,
202,68,1,0,16,49,------201,225,0.89,------48,
205,69,1,0,16,49,------185,225,0.82,------49,
208,70,1,0,20,49,------165,225,0.73,------34,
211,71,1,1,20,49,------185,289,0.64,------35,
214,72,1,1,28,49,------213,361,0.59,------36,
217,73,1,1,28,49,------241,441,0.55,------37,
220,74,1,1,32,49,------273,441,0.62,------38,
223,75,1,0,56,49,------217,441,0.49,------39,
226,76,1,0,28,49,------189,441,0.43,------40,
229,77,1,0,24,49,------165,441,0.37,------41,
232,78,1,0,24,49,------141,361,0.39,------42,
235,79,1,1,36,49,------177,441,0.4,------43,
238,80,1,1,44,49,------221,441,0.5,------44,
241,81,1,1,36,49,------257,441,0.58,------45,
244,82,1,1,28,49,------285,441,0.65,------46,
247,83,1,0,68,49,------217,441,0.49,------47,
250,84,1,0,16,49,------201,225,0.89,------48,
253,85,1,0,16,49,------185,225,0.82,------49,
256,86,1,0,20,49,------165,225,0.73,------34,
259,87,1,1,20,49,------185,289,0.64,------35,
262,88,1,1,28,49,------213,361,0.59,------36,
265,89,1,1,28,49,------241,441,0.55,------37,
268,90,1,1,32,49,------273,441,0.62,------38,
271,91,1,0,56,49,------217,441,0.49,------39,
274,92,1,0,28,49,------189,441,0.43,------40,
277,93,1,0,24,49,------165,441,0.37,------41,
280,94,1,0,24,49,------141,361,0.39,------42,
283,95,1,1,36,49,------177,441,0.4,------43,
286,96,1,1,44,49,------221,441,0.5,------44,
289,97,1,1,36,49,------257,441,0.58,------45,
292,98,1,1,28,49,------285,441,0.65,------46,
295,99,1,0,68,49,------217,441,0.49,------47,
298,100,1,0,16,49,------201,225,0.89,------48,
301,101,1,0,16,49,------185,225,0.82,------49,
304,102,1,0,20,49,------165,225,0.73,------34,
307,103,1,1,20,49,------185,289,0.64,------35,
310,104,1,1,28,49,------213,361,0.59,------36,
313,105,1,1,28,49,------241,441,0.55,------37,
316,106,1,1,32,49,------273,441,0.62,------38,
319,107,1,0,56,49,------217,441,0.49,------39,
322,108,1,0,28,49,------189,441,0.43,------40,
325,109,1,0,24,49,------165,441,0.37,------41,
328,110,1,0,24,49,------141,361,0.39,------42,
331,111,1,1,36,49,------177,441,0.4,------43,
334,112,1,1,44,49,------221,441,0.5,------44,
337,113,1,1,36,49,------257,441,0.58,------45,
340,114,1,1,28,49,------285,441,0.65,------46,
343,115,1,0,68,49,------217,441,0.49,------47,
346,116,1,0,16,49,------201,225,0.89,------48,
349,117,1,0,16,49,------185,225,0.82,------49,
352,118,1,0,20,49,------165,225,0.73,------34,
355,119,1,1,20,49,------185,289,0.64,------35,
358,120,1,1,28,49,------213,361,0.59,------36,
361,121,1,1,28,49,------241,441,0.55,------37,
364,122,1,1,32,49,------273,441,0.62,------38,
367,123,1,0,56,49,------217,441,0.49,------39,
370,124,1,0,28,49,------189,441,0.43,------40,
373,125,1,0,24,49,------165,441,0.37,------41,
376,126,1,0,24,49,------141,361,0.39,------42,
379,127,1,1,36,49,------177,441,0.4,------43,
382,128,1,1,44,49,------221,441,0.5,------44,
385,129,1,1,36,49,------257,441,0.58,------45,
388,130,1,1,28,49,------285,441,0.65,------46,
391,131,1,0,68,49,------217,441,0.49,------47,
394,132,1,0,16,49,------201,225,0.89,------48,
397,133,1,0,16,49,------185,225,0.82,------49,
400,134,1,0,20,49,------165,225,0.73,------34,
403,135,1,1,20,49,------185,289,0.64,------35,
406,136,1,1,28,49,------213,361,0.59,------36,
409,137,1,1,28,49,------241,441,0.55,------37,
412,138,1,1,32,49,------273,441,0.62,------38,
415,139,1,0,56,49,------217,441,0.49,------39,
418,140,1,0,28,49,------189,441,0.43,------40,
421,141,1,0,24,49,------165,441,0.37,------41,
424,142,1,0,24,49,------141,361,0.39,------42,
427,143,1,1,36,49,------177,441,0.4,------43,
430,144,1,1,44,49,------221,441,0.5,------44,
433,145,1,1,36,49,------257,441,0.58,------45,
436,146,1,1,28,49,------285,441,0.65,------46,
439,147,1,0,68,49,------217,441,0.49,------47,
