L1A1-->Columns Header:, LevelCount, AutomataStep, AggregateState, Goal, StateDifference, DiversityCounter, LiveCellsCount, LiveCellsArea, LiveCellsDensity, StateId
2,1,0,1,0,1,------0,0,0.0,------1,
5,2,0,1,0,1,------0,0,0.0,------1,
8,3,0,1,0,1,------0,0,0.0,------1,
11,4,0,1,0,1,------0,0,0.0,------1,
14,5,0,1,0,1,------0,0,0.0,------1,
17,6,0,1,0,1,------0,0,0.0,------1,
20,7,0,1,0,1,------0,0,0.0,------1,
23,8,1,1,32,2,------32,32,1.0,------2,
26,9,1,0,0,2,------32,32,1.0,------2,
29,10,1,0,0,2,------32,32,1.0,------2,
32,11,1,0,0,2,------32,32,1.0,------2,
35,12,0,0,20,3,------12,12,1.0,------3,
38,13,0,1,0,3,------12,12,1.0,------3,
41,14,0,1,0,3,------12,12,1.0,------3,
44,15,0,1,0,3,------12,12,1.0,------3,
47,16,1,1,20,3,------32,32,1.0,------2,
50,17,1,0,0,3,------32,32,1.0,------2,
53,18,1,0,0,3,------32,32,1.0,------2,
56,19,1,0,0,3,------32,32,1.0,------2,
59,20,0,0,20,3,------12,12,1.0,------3,
62,21,0,1,0,3,------12,12,1.0,------3,
65,22,0,1,0,3,------12,12,1.0,------3,
68,23,0,1,0,3,------12,12,1.0,------3,
71,24,1,1,20,3,------32,32,1.0,------2,
74,25,1,0,0,3,------32,32,1.0,------2,
77,26,1,0,0,3,------32,32,1.0,------2,
80,27,1,0,0,3,------32,32,1.0,------2,
83,28,0,0,20,3,------12,12,1.0,------3,
86,29,0,1,0,3,------12,12,1.0,------3,
89,30,0,1,0,3,------12,12,1.0,------3,
92,31,0,1,0,3,------12,12,1.0,------3,
95,32,1,1,20,3,------32,32,1.0,------2,
98,33,1,0,0,3,------32,32,1.0,------2,
101,34,1,0,0,3,------32,32,1.0,------2,
104,35,1,0,0,3,------32,32,1.0,------2,
107,36,0,0,20,3,------12,12,1.0,------3,
110,37,0,1,0,3,------12,12,1.0,------3,
113,38,0,1,0,3,------12,12,1.0,------3,
116,39,0,1,0,3,------12,12,1.0,------3,
119,40,1,1,20,3,------32,32,1.0,------2,
122,41,1,0,0,3,------32,32,1.0,------2,
125,42,1,0,0,3,------32,32,1.0,------2,
128,43,1,0,0,3,------32,32,1.0,------2,
131,44,0,0,20,3,------12,12,1.0,------3,
134,45,0,1,0,3,------12,12,1.0,------3,
137,46,0,1,0,3,------12,12,1.0,------3,
140,47,0,1,0,3,------12,12,1.0,------3,
143,48,1,1,20,3,------32,32,1.0,------2,
146,49,1,0,0,3,------32,32,1.0,------2,
149,50,1,0,0,3,------32,32,1.0,------2,
152,51,1,0,0,3,------32,32,1.0,------2,
155,52,0,0,20,3,------12,12,1.0,------3,
158,53,0,1,0,3,------12,12,1.0,------3,
161,54,0,1,0,3,------12,12,1.0,------3,
164,55,0,1,0,3,------12,12,1.0,------3,
167,56,1,1,20,3,------32,32,1.0,------2,
170,57,1,0,0,3,------32,32,1.0,------2,
173,58,1,0,0,3,------32,32,1.0,------2,
176,59,1,0,0,3,------32,32,1.0,------2,
179,60,0,0,20,3,------12,12,1.0,------3,
182,61,0,1,0,3,------12,12,1.0,------3,
185,62,0,1,0,3,------12,12,1.0,------3,
188,63,0,1,0,3,------12,12,1.0,------3,
191,64,1,1,20,3,------32,32,1.0,------2,
194,65,1,0,0,3,------32,32,1.0,------2,
197,66,1,0,0,3,------32,32,1.0,------2,
200,67,1,0,0,3,------32,32,1.0,------2,
203,68,0,0,20,3,------12,12,1.0,------3,
206,69,0,1,0,3,------12,12,1.0,------3,
209,70,0,1,0,3,------12,12,1.0,------3,
212,71,0,1,0,3,------12,12,1.0,------3,
215,72,1,1,20,3,------32,32,1.0,------2,
218,73,1,0,0,3,------32,32,1.0,------2,
221,74,1,0,0,3,------32,32,1.0,------2,
224,75,1,0,0,3,------32,32,1.0,------2,
227,76,0,0,20,3,------12,12,1.0,------3,
230,77,0,1,0,3,------12,12,1.0,------3,
233,78,0,1,0,3,------12,12,1.0,------3,
236,79,0,1,0,3,------12,12,1.0,------3,
239,80,1,1,20,3,------32,32,1.0,------2,
242,81,1,0,0,3,------32,32,1.0,------2,
245,82,1,0,0,3,------32,32,1.0,------2,
248,83,1,0,0,3,------32,32,1.0,------2,
251,84,0,0,20,3,------12,12,1.0,------3,
254,85,0,1,0,3,------12,12,1.0,------3,
257,86,0,1,0,3,------12,12,1.0,------3,
260,87,0,1,0,3,------12,12,1.0,------3,
263,88,1,1,20,3,------32,32,1.0,------2,
266,89,1,0,0,3,------32,32,1.0,------2,
269,90,1,0,0,3,------32,32,1.0,------2,
272,91,1,0,0,3,------32,32,1.0,------2,
275,92,0,0,20,3,------12,12,1.0,------3,
278,93,0,1,0,3,------12,12,1.0,------3,
281,94,0,1,0,3,------12,12,1.0,------3,
284,95,0,1,0,3,------12,12,1.0,------3,
287,96,1,1,20,3,------32,32,1.0,------2,
290,97,1,0,0,3,------32,32,1.0,------2,
293,98,1,0,0,3,------32,32,1.0,------2,
296,99,1,0,0,3,------32,32,1.0,------2,
299,100,0,0,20,3,------12,12,1.0,------3,
302,101,0,1,0,3,------12,12,1.0,------3,
305,102,0,1,0,3,------12,12,1.0,------3,
308,103,0,1,0,3,------12,12,1.0,------3,
311,104,1,1,20,3,------32,32,1.0,------2,
314,105,1,0,0,3,------32,32,1.0,------2,
317,106,1,0,0,3,------32,32,1.0,------2,
320,107,1,0,0,3,------32,32,1.0,------2,
323,108,0,0,20,3,------12,12,1.0,------3,
326,109,0,1,0,3,------12,12,1.0,------3,
329,110,0,1,0,3,------12,12,1.0,------3,
332,111,0,1,0,3,------12,12,1.0,------3,
335,112,1,1,20,3,------32,32,1.0,------2,
338,113,1,0,0,3,------32,32,1.0,------2,
341,114,1,0,0,3,------32,32,1.0,------2,
344,115,1,0,0,3,------32,32,1.0,------2,
347,116,0,0,20,3,------12,12,1.0,------3,
350,117,0,1,0,3,------12,12,1.0,------3,
353,118,0,1,0,3,------12,12,1.0,------3,
356,119,0,1,0,3,------12,12,1.0,------3,
359,120,1,1,20,3,------32,32,1.0,------2,
362,121,1,0,0,3,------32,32,1.0,------2,
365,122,1,0,0,3,------32,32,1.0,------2,
368,123,1,0,0,3,------32,32,1.0,------2,
371,124,0,0,20,3,------12,12,1.0,------3,
374,125,0,1,0,3,------12,12,1.0,------3,
377,126,0,1,0,3,------12,12,1.0,------3,
380,127,0,1,0,3,------12,12,1.0,------3,
383,128,1,1,20,3,------32,32,1.0,------2,
386,129,1,0,0,3,------32,32,1.0,------2,
389,130,1,0,0,3,------32,32,1.0,------2,
392,131,1,0,0,3,------32,32,1.0,------2,
395,132,0,0,20,3,------12,12,1.0,------3,
398,133,0,1,0,3,------12,12,1.0,------3,
401,134,0,1,0,3,------12,12,1.0,------3,
404,135,0,1,0,3,------12,12,1.0,------3,
407,136,1,1,20,3,------32,32,1.0,------2,
410,137,1,0,0,3,------32,32,1.0,------2,
413,138,1,0,0,3,------32,32,1.0,------2,
416,139,1,0,0,3,------32,32,1.0,------2,
419,140,0,0,20,3,------12,12,1.0,------3,
